Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
Adilabad,1983,1,4,,,Adilabad,174,0,802880,8,Adilabad,1.209758847,0.22104424,0.988714607,0.00021672,4.000866879,7938.191837,
Adilabad,1987,1,1,,,Adilabad,174,0,802880,8,Adilabad,1.209758847,0.22104424,0.988714607,0.00021672,1.00021672,7938.191837,
Adilabad,2022,1,1,,,Adilabad,174,0,802880,8,Adilabad,1.209758847,0.22104424,0.988714607,0.00021672,1.00021672,7938.191837,
"Adilabad, Ananthapuramuamu, East Godavari, Guntur, Kurnool, Medak,  Sri Potti Sriramulu Nellore,Nizamabad, Prakasam, Visakhapatnam, Vizianagaram",1996,1,3,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,3.000172126,18263.97663,
"Adilabad, East Godavari, Guntur, Hyderabad, Krishna, Medak,Nizamabad, Visakhapatnam , Vizianagaram",1996,1,31,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,31.00177863,18263.97663,
"Adilabad, East Godavari, Karimnagar, Khammam, Krishna, Medak, Nalgonda,Srikakulam, Vizianagaram, Visakhapatnam, Warangal, Warangal, Warangal, Warangal, West Godavari",1983,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Adilabad, East Godavari, Karimnagar, Khammam, Warangal, Warangal, Warangal, Warangal, West Godavari",2006,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Adilabad, East Godavari, Khammam, Medak, Nizamabad,West Godavari",1990,1,31,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,31.00177863,18263.97663,
"Adilabad, East,West Godavari, Guntur, Karimnagar, Khammam, Krishna, Mahabubnagar,Warangal, Warangal, Warangal, Warangal",1988,1,38,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,38.00218026,18263.97663,
"Adilabad, Hyderabad, Khammam, Kurnool, Mahabubnagar, Nalgonda,Warangal, Warangal, Warangal, Warangal",2000,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Adilabad, Karimnagar, Khammam, Hyderabad,Visakhapatnam",2013,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Adilabad, Karimnagar, Khammam, Krishna, Kurnool, Medak, Mahabubnagar, Nalgonda, Nizamabad, Ranga Reddy, Warangal, Warangal, Warangal, Warangal,West Godavari",2014,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Adilabad, Karimnagar, Khammam, Medak, Nalgonda, Nizamabad,Warangal, Warangal, Warangal, Warangal",2015,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Adilabad, Khammam, Karimnagar,Warangal, Warangal, Warangal, Warangal",2014,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Adilabad, Nizamabad,Warangal, Warangal, Warangal, Warangal",2000,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
"Adilabad, Y.S.R., East Godavari, Guntur, Hyderabad, Khammam, Krishna, Medak, Nalgonda,",2008,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Agra, Ambedkar Nagar, Bahraich, Bara Banki, Kushinagar, Mathura, Rae Bareli, Sshrawasti, Sitapur",2018,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Agra, Bara Banki, Firozabad, Hardoi, Kanpur Nagar Dehat, Mainpuri, Rae Bareli",2018,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Agra, Firozabad, Mathura, Sultanpur",2018,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Agra, Kheri,Sitapur",2010,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Agra, Mathura, Varanasi,Prayagraj, Lucknow, Gwalior, Ballia, Etawah, Jalaun, Hamirpur,Banda",1978,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Agra, Prayagraj, Azamgarh, Bahraich, Ballia, Bara Banki, Bareilly, Basti, Budaun, Bulandshahr, Deoria, Etah, Etawah, Ayodhya, Farrukhabad, Fatehpur, Garhwal, Gonda, Gorakhpur, Hamirpur, Jaunpur, Kanpur Nagar Nagar,Kanpur Nagar Dehat, Kheri, Lucknow, Mainpuri, Mathura, Meerut, Mirzapur, Moradabad, Muzaffarnagar, Pilibhit, Pratapgarh, Rae Bareli, Saharanpur, Sitapur, Sultanpur, Unnao,Varanasi",1985,1,21,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,21.00120488,18263.97663,
Ahmedabad,1981,1,2,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
Ahmedabad,1982,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Ahmedabad,2001,2,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,2.00011475,18263.97663,
Ahmedabad,2019,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Ahmedabad,2022,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
