Districts,Year,Flood_Frequency,Mean_Duration,Human_fatality,Human_injured,Population,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure
Adilabad,1983.0,1,4.0,174.0,0.0,802880.0,0.988714607,0.0002167198086887,4.000866879234755,7938.1918366816
Adilabad,1987.0,1,1.0,174.0,0.0,802880.0,0.988714607,0.0002167198086887,1.0002167198086886,7938.1918366816
Adilabad,2022.0,1,1.0,174.0,0.0,802880.0,0.988714607,0.0002167198086887,1.0002167198086886,7938.1918366816
Adilabad,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Ananthapuramuamu,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
East Godavari,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Guntur,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Kurnool,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Medak,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Sri Potti Sriramulu Nellore,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Nizamabad,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Prakasam,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Visakhapatnam,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Vizianagaram,1996.0,1,3.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,3.000172125688503,18263.976629352048
Hyderabad,1996.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
Krishna,1996.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
East Godavari,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Karimnagar,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Khammam,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Krishna,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Medak,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Nalgonda,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Srikakulam,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Vizianagaram,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Visakhapatnam,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Warangal,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
West Godavari,1983.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Adilabad,2006.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
East Godavari,2006.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Karimnagar,2006.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Khammam,2006.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Warangal,2006.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
West Godavari,2006.0,1,7.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,7.000401626606507,18263.976629352048
Adilabad,1990.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
East Godavari,1990.0,1,31.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,31.00177863211453,18263.976629352048
