Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio
,2023,1,2,,,,,,,,,,,,
& Parts Of Himachal Pradesh,2023,1,3,,,,,,,,,,,,
& Parts Of Uttar Pradesh,2023,1,4,,,,,,,,,,,,
11 Districts,2003,1,14,,,,,,,,,,,,
14 Districts,2003,1,28,,,,,,,,,,,,
14 Districts Of Assam,2012,1,8,,,,,,,,,,,,
19 Districts Of Orissa,2011,1,14,,,,,,,,,,,,
29 Districts Affected,1988,1,69,,,,,,,,,,,,
6 Districts,2004,1,13,,,,,,,,,,,,
Adilabad,1983,1,4,,,Adilabad,174,0,802880,8,Adilabad,1.209758847,0.22104424,0.988714607,0.00021672
Adilabad,1987,1,1,,,Adilabad,174,0,802880,8,Adilabad,1.209758847,0.22104424,0.988714607,0.00021672
Adilabad,2022,1,1,,,Adilabad,174,0,802880,8,Adilabad,1.209758847,0.22104424,0.988714607,0.00021672
"Adilabad, Ananthapuramuamu, East Godavari, Guntur, Kurnool, Medak,  Sri Potti Sriramulu Nellore,Nizamabad, Prakasam, Visakhapatnam, Vizianagaram",1996,1,3,,,,,,,,,,,,
"Adilabad, East Godavari, Guntur, Hyderabad, Krishna, Medak,Nizamabad, Visakhapatnam , Vizianagaram",1996,1,31,,,,,,,,,,,,
"Adilabad, East Godavari, Karimnagar, Khammam, Krishna, Medak, Nalgonda,Srikakulam, Vizianagaram, Visakhapatnam, Warangal, Warangal, Warangal, Warangal, West Godavari",1983,1,7,,,,,,,,,,,,
"Adilabad, East Godavari, Karimnagar, Khammam, Warangal, Warangal, Warangal, Warangal, West Godavari",2006,1,7,,,,,,,,,,,,
"Adilabad, East Godavari, Khammam, Medak, Nizamabad,West Godavari",1990,1,31,,,,,,,,,,,,
"Adilabad, East,West Godavari, Guntur, Karimnagar, Khammam, Krishna, Mahabubnagar,Warangal, Warangal, Warangal, Warangal",1988,1,38,,,,,,,,,,,,
"Adilabad, Hyderabad, Khammam, Kurnool, Mahabubnagar, Nalgonda,Warangal, Warangal, Warangal, Warangal",2000,1,4,,,,,,,,,,,,
"Adilabad, Karimnagar, Khammam, Hyderabad,Visakhapatnam",2013,1,1,,,,,,,,,,,,
"Adilabad, Karimnagar, Khammam, Krishna, Kurnool, Medak, Mahabubnagar, Nalgonda, Nizamabad, Ranga Reddy, Warangal, Warangal, Warangal, Warangal,West Godavari",2014,1,2,,,,,,,,,,,,
"Adilabad, Karimnagar, Khammam, Medak, Nalgonda, Nizamabad,Warangal, Warangal, Warangal, Warangal",2015,1,7,,,,,,,,,,,,
"Adilabad, Khammam, Karimnagar,Warangal, Warangal, Warangal, Warangal",2014,1,4,,,,,,,,,,,,
"Adilabad, Nizamabad,Warangal, Warangal, Warangal, Warangal",2000,1,2,,,,,,,,,,,,
"Adilabad, Y.S.R., East Godavari, Guntur, Hyderabad, Khammam, Krishna, Medak, Nalgonda,",2008,1,7,,,,,,,,,,,,
"Agra, Ambedkar Nagar, Bahraich, Bara Banki, Kushinagar, Mathura, Rae Bareli, Sshrawasti, Sitapur",2018,1,1,,,,,,,,,,,,
"Agra, Bara Banki, Firozabad, Hardoi, Kanpur Nagar Dehat, Mainpuri, Rae Bareli",2018,1,1,,,,,,,,,,,,
"Agra, Firozabad, Mathura, Sultanpur",2018,1,1,,,,,,,,,,,,
"Agra, Kheri,Sitapur",2010,1,1,,,,,,,,,,,,
"Agra, Mathura, Varanasi,Prayagraj, Lucknow, Gwalior, Ballia, Etawah, Jalaun, Hamirpur,Banda",1978,1,7,,,,,,,,,,,,
"Agra, Prayagraj, Azamgarh, Bahraich, Ballia, Bara Banki, Bareilly, Basti, Budaun, Bulandshahr, Deoria, Etah, Etawah, Ayodhya, Farrukhabad, Fatehpur, Garhwal, Gonda, Gorakhpur, Hamirpur, Jaunpur, Kanpur Nagar Nagar,Kanpur Nagar Dehat, Kheri, Lucknow, Mainpuri, Mathura, Meerut, Mirzapur, Moradabad, Muzaffarnagar, Pilibhit, Pratapgarh, Rae Bareli, Saharanpur, Sitapur, Sultanpur, Unnao,Varanasi",1985,1,21,,,,,,,,,,,,
Ahmedabad,1981,1,2,,,,,,,,,,,,
Ahmedabad,1982,1,1,,,,,,,,,,,,
Ahmedabad,2001,2,1,,,,,,,,,,,,
Ahmedabad,2019,1,1,,,,,,,,,,,,
Ahmedabad,2022,1,1,,,,,,,,,,,,
"Ahmedabad, Amreli, Anand, Arvalli, Bharuch, Banas Kantha, Devbhumi Dwarka Dwarka, Gandhinagar, Gir Somnath, Jamnagar, Junagadh, Kheda, Kachchh, Mahisagar, Mahesana, Morbi, Navsari, Panch Mahals, Patan, Rajkot, Surat, Surendranagar, Dangs, Valsad",2017,1,122,,,,,,,,,,,,
"Ahmedabad, Amreli, Bharuch, Bhavnagar, Botad,Udaiur, Devbhumi Dwarka, Devbhumi Dwarka Dwarka, Dahod, Gandhinagar, Gir Somnath, Jamnagar, Junagadh, Kachchh, Mahesana, Morbi, Navsari, Panch Mahals, Patan, Rajkot, Sabar Kantha,Tapi, Dangs, Vadodara, Valsad",2016,1,120,,,,,,,,,,,,
"Ahmedabad, Bharuch, Bhavnagar, Junagadh, Narmada, Surat,Surendranagar",2007,1,1,,,,,,,,,,,,
"Ahmedabad, Bharuch, Junagadh, Kheda, Navsari, Panch Mahals, Sabar Kantha, Surat, Surendranagar,Valsad",2000,1,4,,,,,,,,,,,,
"Ahmedabad, Bharuch, Panch Mahals,Vadodara",1984,1,7,,,,,,,,,,,,
"Ahmedabad, Bharuch, Sabar Kantha,Vadodara",1993,1,7,,,,,,,,,,,,
"Ahmedabad, Chota Udaipur, The Dangs, Kheda, Narmada, Navsari, Panch Mahals, Surat, Tapi, Valsad",2022,1,1,,,,,,,,,,,,
"Ahmedabad, Jamnagar, Junagadh, Porbandar, Rajkot, Valsad",2021,1,8,,,,,,,,,,,,
"Ahmedabad, Panch Mahals, Vadodara",1985,1,3,,,,,,,,,,,,
Ahmednagar,1979,1,21,,,,,,,,,,,,
Ahmednagar,1997,1,7,,,,,,,,,,,,
Ahmednagar,2001,1,2,,,,,,,,,,,,
Ahmednagar,2014,1,1,,,,,,,,,,,,
Ahmednagar,2021,1,1,,,,,,,,,,,,
Ahmednagar,2022,1,1,,,,,,,,,,,,
Ahmednagar,2023,2,1.5,,,,,,,,,,,,
"Ahmednagar, Akola, Aurangabad, Beed, Buldhana, Chandrapur, Dhule, Hingoli, Jalgaon, Jalna, Kolhapur, Latur, Nanded, Nashik, Parbhani, Pune, Sangli, Satara, Wardha, Washim,Yavatmal",2006,1,5,,,,,,,,,,,,
"Ahmednagar, Akola, Buldhana, Parbhani, Pune,Satara",2010,1,3,,,,,,,,,,,,
"Ahmednagar, Aurangabad, Jalna, Jalgaon, Nashik, Dharashiv, Pune, Satara, Solapur, Washim",2020,1,1,,,,,,,,,,,,
"Ahmednagar, Aurangabad, Jalna, Latur,Nanded",1990,1,3,,,,,,,,,,,,
"Ahmednagar, Beed, Jalna, Mumbai, Nashik, Dharashiv, Pune,Satara",2006,1,6,,,,,,,,,,,,
"Ahmednagar, Dhule, Jalgaon, Mumbai, Nandurbar, Nashik, Pune",2016,1,3,,,,,,,,,,,,
"Ahmednagar, Hingoli, Kolhapur, Nanded, Parbhani, Raigarh, Ratnagiri, Sindhudurg",2021,1,1,,,,,,,,,,,,
"Ahmednagar, Kolhapur, Raigarh, Ratnagiri, Sangli, Sindhudurg,Solapur",2009,1,6,,,,,,,,,,,,
"Ahmednagar, Mumbai",1988,1,1,,,,,,,,,,,,
"Ahmednagar, Nashik, Dharashiv, Pune",2021,1,1,,,,,,,,,,,,
"Ahmednagar, Pune,Solapur",2001,1,4,,,,,,,,,,,,
Aizawl,1992,1,2,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422
Aizawl,1999,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422
Aizawl,2009,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422
Aizawl,2013,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422
Aizawl,2023,1,1,,,Aizawl,154,42,483635,2,Aizawl,2.162077627,0.096288881,2.065788746,0.000318422
Ajmer,1995,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05
Ajmer,1996,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05
Ajmer,2019,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05
Ajmer,2023,1,1,,,Ajmer,135,23,2985855,4,Ajmer,0.260510002,0.05695381,0.203556192,4.52E-05
"Ajmer, Alwar, Banswara, Bharatpur, Churu, Jaisalmer, Jhunjhunu, Jodhpur,Sikar",2003,1,4,,,,,,,,,,,,
"Ajmer, Alwar, Baran, Bharatpur, Bhilwara, Churu, Dausa, Dholpur, Jhalawar,Kota",1999,1,3,,,,,,,,,,,,
"Ajmer, Alwar, Bharatpur",1996,1,2,,,,,,,,,,,,
"Ajmer, Alwar, Bharatpur, Sawai Madhopur, Ramgarh, Jaipur",1975,1,7,,,,,,,,,,,,
"Ajmer, Banswara,Jodhpur",2007,1,1,,,,,,,,,,,,
"Ajmer, Baran, Bhilwara, Bundi, Kota,Udaipur",2001,1,3,,,,,,,,,,,,
"Ajmer, Baran, Dausa, Jaipur,Tonk",2014,1,1,,,,,,,,,,,,
"Ajmer, Barmer, Bhilwara, Jodhpur, Pali,Sirohi",1990,1,4,,,,,,,,,,,,
"Ajmer, Bhilwara, Bundi, Jalore, Jodhpur, Kota, Nagpur, Pali, Sawai Madhopur, Sikar,Tonk",1979,1,14,,,,,,,,,,,,
"Ajmer, Bhilwara, Churu, Ganganagar, Kota, Jaisalmer,Jodhpur",1993,1,12,,,,,,,,,,,,
"Ajmer, Kota,Sirohi",1997,1,3,,,,,,,,,,,,
"Ajmer,Alwar",1995,1,2,,,,,,,,,,,,
"Ajmer,Bikaner",1997,1,1,,,,,,,,,,,,
"Akharpur, Deoria,Gorakhpur",1982,1,1,,,,,,,,,,,,
Akola,1985,1,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05
Akola,1988,2,2,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05
Akola,1994,1,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05
Akola,2004,1,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05
Akola,2021,2,1,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05
Akola,2022,1,4,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05
Akola,2023,3,1.333333333,,,Akola,106,14,2032614,4,Akola,0.880057177,0.274621796,0.605435381,5.21E-05
"Akola, Amravati, Bhandara, Buldhana, Chandrapur, Gadchiroli, Nagpur, Wardha,Yavatmal",1994,1,14,,,,,,,,,,,,
"Akola, Amravati, Buldhana,Washim",2010,1,1,,,,,,,,,,,,
"Akola, Amravati, Buldhana,Yavatmal",1988,1,2,,,,,,,,,,,,
"Akola, Amravati, Chandrapur, Gadchiroli Yavotmal, Washim",2016,1,1,,,,,,,,,,,,
"Akola, Amravati, Chandrapur, Nagpur, Wardha",2015,1,9,,,,,,,,,,,,
"Akola, Amravati, Wardha, Washim,Yavatmal",2005,1,3,,,,,,,,,,,,
"Akola, Aurangabad, Beed, Hingoli, Jalna, Kolhapur, Nanded, Nashik, Parbhani, Palghar, Pune, Raigarh, Ratnagiri, Sangli, Sindhudurg, Thane, Dharashiv",2020,1,2,,,,,,,,,,,,
"Akola, Beed, Aurangabad, Akola, Beed, Buldhana, Gondia, Jalgaon, Jalna, Latur, Nanded, Dharashiv, Parbhani, Raigarh, Ratnagiri, Washim, Yavatmal",2021,1,1,,,,,,,,,,,,
"Akola, Bhandara, Chandrapur, Nagpur,Yavatmal",2005,1,1,,,,,,,,,,,,
"Akola, Chandrapur,Nagpur",2005,1,1,,,,,,,,,,,,
"Akola, Gadchiroli",2019,1,1,,,,,,,,,,,,
"Akola, Mumbai, Yavatmal",1992,1,1,,,,,,,,,,,,
Alappuzha,1979,1,10,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05
Alappuzha,1984,1,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05
Alappuzha,1993,1,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05
Alappuzha,2020,2,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05
Alappuzha,2021,1,9,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05
Alappuzha,2022,1,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05
Alappuzha,2023,1,5,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05
"Alappuzha, Ernakulam, Idukki,  Kollam, Pathanamthitta, Thiruvananthapuram,Thrissur",1993,1,1,,,,,,,,,,,,
"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram, Thrissur, Wayanad",2019,1,1,,,,,,,,,,,,
"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram, Wayanad",2018,1,30,,,,,,,,,,,,
"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Pathanamthitta, Thiruvananthapuram,Thrissur",1994,1,7,,,,,,,,,,,,
"Alappuzha, Ernakulam, Idukki, Kasaragod, Kochi,Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta,Thrissur,Thiruvananthapuram,Wayanad",2010,1,5,,,,,,,,,,,,
"Alappuzha, Ernakulam, Idukki, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram,Thrissur",1994,1,14,,,,,,,,,,,,
"Alappuzha, Ernakulam, Idukki, Kottayam, Malappuram, Pathanamthitta, Thiruvananthapuram,Thrissur",2011,1,4,,,,,,,,,,,,
"Alappuzha, Ernakulam, Kannur, Kollam, Kozhikode, Palakkad, Thrissur,Wayanad",2006,1,1,,,,,,,,,,,,
"Alappuzha, Ernakulam, Kollam, Kottayam",2020,1,1,,,,,,,,,,,,
"Alappuzha, Ernakulam, Kollam, Kozhikode, Malappuram, Pathanamthitta, Thrissur,Thiruvananthapuram",2009,1,1,,,,,,,,,,,,
"Alappuzha, Ernakulam, Kollam,Kottayam",2013,1,3,,,,,,,,,,,,
"Alappuzha, Ernakulam, Kottayam, Malappuram, Thrissur, Pathanamthitta",2015,1,7,,,,,,,,,,,,
"Alappuzha, Ernakulam, Kozhikode, Malappuram, Thrissur, Thiruvananthapuram,Wayanad",2014,1,7,,,,,,,,,,,,
"Alappuzha, Ernakulam, Palakkad, Idukki, Kollam",2015,1,5,,,,,,,,,,,,
"Alappuzha, Ernakulam,Idukki,",2013,1,5,,,,,,,,,,,,
"Alappuzha, Ernakulam,Thrissur",2004,1,1,,,,,,,,,,,,
"Alappuzha, Idukki, Ernakulam, Kannur, Kottayam, Kollam, Kozhikode, Malappuram, Palakkad,  Pathanamthitta, Thrissur, Thiruvananthapuram",2021,1,9,,,,,,,,,,,,
"Alappuzha, Idukki, Kasaragod, Kollam, Kottayam, Kozhikode, Palakkad, Pathanamthitta, Thiruvananthapuram,Wayanad",1991,1,1,,,,,,,,,,,,
"Alappuzha, Idukki, Kollam, Kottayam, Kozhikode, Malappuram, Pathanamthitta, Thrissur, Thiruvananthapuram,Wayanad",2011,1,3,,,,,,,,,,,,
"Alappuzha, Idukki, Kollam, Kottayam, Thiruvananthapuram,Thrissur",2001,1,7,,,,,,,,,,,,
"Alappuzha, Idukki, Kollam, Malappuram, Thiruvananthapuram, Wayanad",2019,1,4,,,,,,,,,,,,
"Alappuzha, Idukki, Kottayam, Malappuram,Pathanamthitta",1997,1,9,,,,,,,,,,,,
"Alappuzha, Idukki, Thiruvananthapuram",2019,1,2,,,,,,,,,,,,
"Alappuzha, Idukki,Kannur",2000,1,7,,,,,,,,,,,,
"Alappuzha, Idukki,Wayanad",1995,1,2,,,,,,,,,,,,
"Alappuzha, Kannur, Kasaragod, Kozhikode, Kottayam, Malappuram, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram,Wayanad",2014,1,7,,,,,,,,,,,,
"Alappuzha, Kannur, Kollam, Thrissur, Thiruvananthapuram",2015,1,9,,,,,,,,,,,,
